date,BRLUSD,CADUSD,EURUSD,GBPUSD,JPYUSD,MXNUSD,USDBRL,USDCAD,USDJPY,USDMXN
2024-05-23,0.1941747572815534,0.7301401869158879,1.0827,1.2717,0.0063673989175421835,0.059856941908837884,5.15,1.3696,157.05,16.7065
2024-05-24,0.1942086966654367,0.7317965605561654,1.0852,1.2746,0.006373486297004461,0.05994736621246546,5.1491,1.3665,156.9,16.6813
2024-05-27,0.1942086966654367,0.7317965605561654,1.0852,1.2746,0.006373486297004461,0.05994736621246546,5.1491,1.3665,156.9,16.6813
2024-05-28,0.19402029452280709,0.7336757153338225,1.0879,1.2786,0.006373486297004461,0.05986625877789019,5.1541,1.363,156.9,16.7039
2024-05-29,0.19219680953296175,0.7298204641658151,1.0811,1.2714,0.00634437254155564,0.059042333353014106,5.203,1.3702,157.62,16.937
2024-05-30,0.1921820348233847,0.7316359379572724,1.0837,1.2739,0.006384472961757007,0.05909047934196842,5.2034,1.3668,156.63,16.9232
2024-05-31,0.1907923606738786,0.7328154770628755,1.0846,1.2738,0.006361727845282779,0.05884429798752501,5.2413,1.3646,157.19,16.994
2024-06-03,0.19104021396503965,0.7338910905621605,1.089,1.2795,0.006408613176108691,0.05688929343497554,5.2345,1.3626,156.04,17.578
2024-06-04,0.18908238319435777,0.7307804735457468,1.0878,1.2785,0.006457028475495577,0.055997312129017804,5.2887,1.3684,154.87,17.858
2024-06-05,0.1893078903528699,0.7296607077708865,1.0865,1.2771,0.006401638819537802,0.057032052013231437,5.2824,1.3705,156.21,17.534
2024-06-06,0.19029857846961884,0.7307804735457468,1.0883,1.2786,0.006411078343377357,0.05707371641211789,5.2549,1.3684,155.98,17.5212
2024-06-07,0.18964176670269858,0.7274314395868189,1.0807,1.2727,0.006386511687316387,0.05474592416594584,5.2731,1.3747,156.58,18.2662
2024-06-10,0.1864106626899059,0.7270083605961469,1.0751,1.2733,0.0063722678901421016,0.05433601391001956,5.3645,1.3755,156.93,18.404
2024-06-11,0.18681462384875488,0.7265329845975007,1.0733,1.2725,0.006356470887363336,0.054244643341470035,5.3529,1.3764,157.32,18.435
2024-06-12,0.18545994065281898,0.7304601899196493,1.0843,1.2843,0.006415191172696947,0.05336464058914563,5.392,1.369,155.88,18.739
2024-06-13,0.18595310262751735,0.7274843590862796,1.0756,1.2764,0.006378771448618995,0.0538761172559816,5.3777,1.3746,156.77,18.5611
2024-06-14,0.18670998338281147,0.728066982162359,1.0699,1.2685,0.006358087487283825,0.05419496095253064,5.3559,1.3735,157.28,18.4519
2024-06-17,0.184593801340151,0.7271669575334497,1.0723,1.2689,0.0063371356147021544,0.05408416577878495,5.4173,1.3752,157.8,18.4897
2024-06-18,0.185000185000185,0.7287036362311448,1.0739,1.2699,0.006336734047272036,0.05437205711240879,5.4054,1.3723,157.81,18.3918
2024-06-19,0.185000185000185,0.7287036362311448,1.0739,1.2699,0.006336734047272036,0.05437205711240879,5.4054,1.3723,157.81,18.3918
2024-06-20,0.18358392539149274,0.7297672042618404,1.0708,1.2671,0.006298419096806701,0.054362598532209844,5.4471,1.3703,158.77,18.395
2024-06-21,0.18335503034525752,0.7300335815447511,1.0694,1.2645,0.006271558482282847,0.05494656446605676,5.4539,1.3698,159.45,18.1995
2024-06-24,0.18509949097639983,0.732171621027969,1.0727,1.2684,0.006261348694508797,0.055543521125978254,5.4025,1.3658,159.71,18.0039
2024-06-25,0.1839655616468597,0.732171621027969,1.0705,1.2677,0.0062625250501002,0.05517241379310345,5.4358,1.3658,159.68,18.125
2024-06-26,0.1815508069933371,0.7300868803387603,1.0682,1.2625,0.006223549912870301,0.05504849772649704,5.5081,1.3697,160.68,18.1658
2024-06-27,0.18084817795460711,0.7303001533630322,1.0708,1.2653,0.006222775357809584,0.05459111256687411,5.5295,1.3693,160.7,18.318
2024-06-28,0.17986905532772143,0.7307804735457468,1.0711,1.264,0.006215813028344107,0.05476151360823613,5.5596,1.3684,160.88,18.261
2024-07-01,0.1789324887719863,0.7276961141027506,1.0728,1.265,0.006190034045187248,0.05438920918089851,5.5887,1.3742,161.55,18.386
2024-07-02,0.1761555806087937,0.7304068366079907,1.0737,1.2679,0.006190800470500836,0.05486998556919379,5.6768,1.3691,161.53,18.2249
2024-07-03,0.17945588974230134,0.733998825601879,1.0799,1.2766,0.0061927173643794905,0.05520561330676103,5.5724,1.3624,161.48,18.1141
2024-07-04,0.17945588974230134,0.733998825601879,1.0799,1.2766,0.0061927173643794905,0.05520561330676103,5.5724,1.3624,161.48,18.1141
2024-07-05,0.18247509214992153,0.7336218912772358,1.0828,1.2807,0.006221613886642195,0.0552883286338254,5.4802,1.3631,160.73,18.087
2024-07-08,0.18319380072178357,0.7332991127080737,1.0835,1.2829,0.006220065932698886,0.05557562453108066,5.4587,1.3637,160.77,17.9935
2024-07-09,0.18410781353560643,0.7333528894103843,1.0813,1.2787,0.006195786864931846,0.05572862389309021,5.4316,1.3636,161.4,17.9441
2024-07-10,0.18508236165093467,0.7348618459729571,1.0823,1.2842,0.0061831447474185374,0.05607550005327172,5.403,1.3608,161.73,17.8331
2024-07-11,0.18428084400626554,0.7342683016374183,1.087,1.292,0.00630596544330937,0.056079588151504614,5.4265,1.3619,158.58,17.8318
2024-07-12,0.1832878168588134,0.7338372349012989,1.0902,1.2986,0.006333924499619965,0.056647595309579114,5.4559,1.3627,157.88,17.653
2024-07-15,0.18388099222183404,0.7319572536963841,1.0912,1.2986,0.006333523339033505,0.056287290329843524,5.4383,1.3662,157.89,17.766
2024-07-16,0.18326430377890995,0.7306736811340055,1.0885,1.2958,0.006306363120388472,0.05662834815108444,5.4566,1.3686,158.57,17.659
2024-07-17,0.18258503898190584,0.7308338814587444,1.0933,1.3008,0.006387327542156361,0.05634215463667762,5.4769,1.3683,156.56,17.7487
2024-07-18,0.18052170773535517,0.7301935012778387,1.0913,1.2973,0.006370644072115691,0.05603747786519625,5.5395,1.3695,156.97,17.8452
2024-07-19,0.17995645053896958,0.7287036362311448,1.0888,1.2922,0.006354047528275512,0.05574539961089711,5.5569,1.3723,157.38,17.9387
2024-07-22,0.1802288906911778,0.7269555103227683,1.088,1.2911,0.0063661828367710714,0.055784893450853516,5.5485,1.3756,157.08,17.926
2024-07-23,0.17958157493041213,0.7265857734505557,1.0855,1.2916,0.00640943468786053,0.0553287078533568,5.5685,1.3763,156.02,18.0738
2024-07-24,0.17745599091425326,0.725531451788435,1.0853,1.2925,0.0065193298128952346,0.0544102204158029,5.6352,1.3783,153.39,18.3789
2024-07-25,0.17776513670139013,0.7241653993772178,1.0861,1.2884,0.006494771708774437,0.05449858576169948,5.6254,1.3809,153.97,18.3491
2024-07-26,0.17683153259889303,0.7229612492770388,1.0859,1.2864,0.006499415052645261,0.05435964340073929,5.6551,1.3832,153.86,18.396
2024-07-29,0.17694730509254344,0.7218652999350321,1.0819,1.2853,0.006495193556767992,0.053593152938780544,5.6514,1.3853,153.96,18.6591
2024-07-30,0.1768565516509559,0.7221259387637203,1.0809,1.2828,0.006505334374186833,0.05319629966539527,5.6543,1.3848,153.72,18.7983
2024-07-31,0.17659108568199477,0.7243227582210633,1.0823,1.284,0.006649820454847719,0.05377066810055115,5.6628,1.3806,150.38,18.5975
2024-08-01,0.1756388864494599,0.7222824124232574,1.0789,1.2772,0.006664001066240171,0.0536428885622633,5.6935,1.3845,150.06,18.6418
2024-08-02,0.17434055684373856,0.7222302470027444,1.0914,1.2798,0.006803646754660498,0.05263407214025928,5.7359,1.3846,146.98,18.9991
2024-08-05,0.17392514261861694,0.7235890014471781,1.0957,1.2765,0.006946856547412296,0.05142710208279763,5.7496,1.382,143.95,19.445
2024-08-06,0.1772766757077771,0.7251105793633529,1.0926,1.2695,0.006891323823306456,0.05176331740748601,5.6409,1.3791,145.11,19.3187
2024-08-07,0.17857142857142858,0.7283851700779372,1.0925,1.2718,0.006783340116673451,0.052153686483329076,5.6,1.3729,147.42,19.1741
2024-08-08,0.17853317146325787,0.7276961141027506,1.0914,1.2741,0.006799020940984498,0.05232041019201591,5.6012,1.3742,147.08,19.113
2024-08-09,0.18149149712335977,0.7285974499089253,1.0925,1.2766,0.006826404532732609,0.0531222608834232,5.5099,1.3725,146.49,18.8245
2024-08-12,0.18162664826183297,0.727749072119933,1.0928,1.2776,0.0067778229632641995,0.05264820469621986,5.5058,1.3741,147.54,18.994
2024-08-13,0.1822589170175151,0.7287036362311448,1.0954,1.2828,0.0068041096822480775,0.05249371387776314,5.4867,1.3723,146.97,19.0499
2024-08-14,0.18322736683951116,0.7301401869158879,1.1024,1.2849,0.006809206046574969,0.05312310748929569,5.4577,1.3696,146.86,18.8242
2024-08-15,0.18311664530305805,0.7298737318443909,1.0986,1.2863,0.006715465717547512,0.053608092677670624,5.461,1.3701,148.91,18.6539
2024-08-16,0.18264506584354623,0.7296607077708865,1.0996,1.2906,0.006750826976304598,0.053714635626769223,5.4751,1.3705,148.13,18.6169
2024-08-19,0.18502072232089994,0.7321180174244089,1.107,1.2984,0.006829668078131404,0.0533546752034147,5.4048,1.3659,146.42,18.7425
2024-08-20,0.18272516308220807,0.7336218912772358,1.1106,1.3027,0.0068634179821551134,0.0529316176431668,5.4727,1.3631,145.7,18.8923
2024-08-21,0.18269178069678646,0.7362143856290951,1.1143,1.3077,0.00688752668916592,0.05210775884529207,5.4737,1.3583,145.19,19.191
2024-08-22,0.1796138302649304,0.735023888276369,1.1114,1.3094,0.006850722751250257,0.051448268765756026,5.5675,1.3605,145.97,19.437
2024-08-23,0.18148161591230808,0.7399733609590056,1.1176,1.3197,0.006903216899074968,0.05237247302817639,5.5102,1.3514,144.86,19.094
2024-08-26,0.18188432157148052,0.7415647015202076,1.1164,1.3185,0.0069199363365857035,0.051533110023189894,5.498,1.3485,144.51,19.405
2024-08-27,0.18167614410551752,0.7432733759476736,1.116,1.3235,0.0069319284624982675,0.05089421129240761,5.5043,1.3454,144.26,19.6486
2024-08-28,0.18066520930064497,0.7428316743425939,1.1127,1.3201,0.006921852287672181,0.051206423333742986,5.5351,1.3462,144.47,19.5288
2024-08-29,0.17744654422855113,0.7429420505200593,1.1086,1.3186,0.006897503103876397,0.050535678188801295,5.6355,1.346,144.98,19.788
2024-08-30,0.17795810866122114,0.7411250277921886,1.106,1.3132,0.006851661527920521,0.050870909978837704,5.6193,1.3493,145.95,19.6576
2024-09-02,0.17795810866122114,0.7411250277921886,1.106,1.3132,0.006851661527920521,0.050870909978837704,5.6193,1.3493,145.95,19.6576
2024-09-03,0.17702248185519562,0.7383888355608063,1.1043,1.3103,0.006857769853243725,0.05042864346949068,5.649,1.3543,145.82,19.83
2024-09-04,0.17729553392550043,0.7396996819291367,1.1081,1.3142,0.0069295267133254795,0.05046401663293989,5.6403,1.3519,144.31,19.8161
2024-09-05,0.1788141048565911,0.7399186089530152,1.1096,1.3165,0.006972042111134351,0.05001850684753359,5.5924,1.3515,143.43,19.9926
2024-09-06,0.17894209433827213,0.7374087456677235,1.1086,1.3136,0.007035812284528249,0.04990044860503296,5.5884,1.3561,142.13,20.0399
2024-09-09,0.17843760037115022,0.7374631268436578,1.1042,1.3083,0.006996921354603975,0.05029042721717921,5.6042,1.356,142.92,19.8845
2024-09-10,0.17704442044508967,0.7349158521349305,1.1025,1.3065,0.007028394714647174,0.04979310962948947,5.6483,1.3607,142.28,20.0831
2024-09-11,0.17705068961243603,0.735564545788893,1.1012,1.3027,0.007056167090036692,0.05040906959980239,5.6481,1.3595,141.72,19.8377
2024-09-12,0.17699428308465637,0.735564545788893,1.1041,1.3081,0.007030371203599549,0.05101286034209224,5.6499,1.3595,142.24,19.6029
2024-09-13,0.18019641409135959,0.7363228039172373,1.1085,1.314,0.007109341674960899,0.05192404550623348,5.5495,1.3581,140.66,19.2589
2024-09-16,0.18147502903600465,0.735348187366718,1.1123,1.3202,0.007102777185879679,0.05194535348813048,5.5104,1.3599,140.79,19.251
2024-09-17,0.181775216766946,0.7354022650389763,1.1118,1.3164,0.0070536784933342735,0.05187556090450228,5.5013,1.3598,141.77,19.2769
2024-09-18,0.1823985408116735,0.7349158521349305,1.1116,1.3199,0.007045726766715986,0.05186668188089335,5.4825,1.3607,141.93,19.2802
2024-09-19,0.18502072232089994,0.7374631268436578,1.1147,1.3279,0.006998880179171333,0.051961818455798676,5.4048,1.356,142.88,19.2449
2024-09-20,0.18216595318335005,0.7371913011426465,1.1159,1.3305,0.006949270326615705,0.05175179837499353,5.4895,1.3565,143.9,19.323
2024-09-23,0.180658681552942,0.7406310176270182,1.113,1.3351,0.006964273278083432,0.05158228664276687,5.5353,1.3502,143.59,19.3865
2024-09-24,0.18294914013904134,0.7423904974016333,1.115,1.3376,0.006955554009876886,0.05169695246465221,5.466,1.347,143.77,19.3435
2024-09-25,0.18245178711525478,0.7426110203475419,1.1143,1.3338,0.006924728204417977,0.05109470403392688,5.4809,1.3466,144.41,19.5715
2024-09-26,0.18405359640727378,0.7426110203475419,1.1184,1.3428,0.006911805363560962,0.05110123153968011,5.4332,1.3466,144.68,19.569
2024-09-27,0.18410103464781472,0.740521327014218,1.1159,1.3394,0.007012622720897616,0.050909239008695296,5.4318,1.3504,142.6,19.6428
2024-09-30,0.18345594305527527,0.7401376656058027,1.1145,1.3399,0.006980802792321117,0.05078642783502536,5.4509,1.3511,143.25,19.6903
2024-10-01,0.18365135626526602,0.7411799584939224,1.1067,1.3282,0.006960879855213699,0.05075034383357947,5.4451,1.3492,143.66,19.7043
2024-10-02,0.18394864153928223,0.7415647015202076,1.105,1.3271,0.006846970215679561,0.05161716580466,5.4363,1.3485,146.05,19.3734
2024-10-03,0.1820962925194843,0.7389344565137073,1.1015,1.3114,0.006811061163329247,0.051323900000513234,5.4916,1.3533,146.82,19.4841
2024-10-04,0.1832005129614363,0.7364854912358227,1.0961,1.3107,0.006725401842760105,0.05220541787826741,5.4585,1.3578,148.69,19.1551
2024-10-07,0.18228549554311962,0.7348618459729571,1.0976,1.308,0.006750826976304598,0.05168573008678034,5.4859,1.3608,148.13,19.3477
2024-10-08,0.18084163697849792,0.7319572536963841,1.097,1.3093,0.006746727836999055,0.05160997311120401,5.5297,1.3662,148.22,19.3761
2024-10-09,0.17913763144223707,0.730887297178775,1.0951,1.308,0.006702412868632708,0.051539484398998074,5.5823,1.3682,149.2,19.4026
2024-10-10,0.17913442247062197,0.7271669575334497,1.0925,1.3053,0.006731287022078621,0.05133048620236531,5.5824,1.3752,148.56,19.4816
2024-10-11,0.17747488730344657,0.726321905868681,1.0942,1.307,0.006706008583690987,0.051463625509489894,5.6346,1.3768,149.12,19.4312
2024-10-14,0.17747488730344657,0.726321905868681,1.0942,1.307,0.006706008583690987,0.051463625509489894,5.6346,1.3768,149.12,19.4312
2024-10-15,0.1771604719554973,0.7244801854669274,1.0899,1.3083,0.006701514542286557,0.05109470403392688,5.6446,1.3803,149.22,19.5715
2024-10-16,0.17667220239567508,0.7261109497531223,1.0873,1.3,0.0066795805223431965,0.050292956471446174,5.6602,1.3772,149.71,19.8835
2024-10-17,0.17616799379888662,0.7251105793633529,1.0837,1.3008,0.006661337596589395,0.05028663381273258,5.6764,1.3791,150.12,19.886
2024-10-18,0.17609664183704016,0.7244277021153288,1.0854,1.3022,0.0066853857467575875,0.05046401663293989,5.6787,1.3804,149.58,19.8161
2024-10-21,0.1753586083540841,0.7221780891167762,1.082,1.298,0.006645843025187745,0.04987680429339532,5.7026,1.3847,150.47,20.0494
2024-10-22,0.175703693291633,0.7230657989877078,1.0805,1.2969,0.00661769571835087,0.05025327651362869,5.6914,1.383,151.11,19.8992
2024-10-23,0.17530020159523182,0.7226477814713109,1.0779,1.2944,0.00654407434068451,0.05017964312237811,5.7045,1.3838,152.81,19.9284
2024-10-24,0.17522955071143195,0.7216048491845866,1.0806,1.2964,0.00658457891617831,0.050372758412250654,5.7068,1.3858,151.87,19.852
2024-10-25,0.17538321231891682,0.7203572972194208,1.0813,1.2978,0.006575486586007364,0.05021945903598726,5.7018,1.3882,152.08,19.9126
2024-10-28,0.17524490475439428,0.7192692224699705,1.0819,1.2981,0.006526989099928202,0.04988924587415937,5.7063,1.3903,153.21,20.0444
2024-10-29,0.174678591391839,0.7189589474441009,1.0798,1.3005,0.006515931452401121,0.05,5.7248,1.3909,153.47,20.0
2024-10-30,0.17307026652821048,0.7188555819135936,1.0864,1.3012,0.00652954619653934,0.049573666468371996,5.778,1.3911,153.15,20.172
2024-10-31,0.1727503584569938,0.7174115790228854,1.0855,1.2856,0.006563833278634723,0.04992162305180866,5.7887,1.3939,152.35,20.0314
2024-11-01,0.17155012694709393,0.718132854578097,1.0848,1.2959,0.006538511834706421,0.04993184303425824,5.8292,1.3925,152.94,20.0273
2024-11-04,0.17328920234980158,0.7195279896387969,1.0884,1.2942,0.0065780818313379815,0.04978096375945838,5.7707,1.3898,152.02,20.088
2024-11-05,0.17325017325017325,0.7220216606498195,1.092,1.3015,0.006580679126085812,0.04940296516596926,5.772,1.385,151.96,20.2417
2024-11-06,0.1753063478428554,0.7179266278986287,1.0732,1.2897,0.006469142191745374,0.04938271604938271,5.7043,1.3929,154.58,20.25
2024-11-07,0.17535245844146735,0.7211885186787826,1.0792,1.2985,0.006530399007379351,0.05029194473921112,5.7028,1.3866,153.13,19.8839
2024-11-08,0.17297147700344215,0.7183391997701315,1.071,1.2905,0.00655393891728929,0.049448647579488705,5.7813,1.3921,152.58,20.223
2024-11-11,0.17297147700344215,0.7183391997701315,1.071,1.2905,0.00655393891728929,0.049448647579488705,5.7813,1.3921,152.58,20.223
2024-11-12,0.17307326191176725,0.7165376898824879,1.0598,1.2733,0.006462870807212564,0.04856396359645289,5.7779,1.3956,154.73,20.5914
2024-11-13,0.17203709119686203,0.7150518412584912,1.0567,1.2709,0.006439979392065945,0.048565378712823196,5.8127,1.3985,155.28,20.5908
2024-11-14,0.1730972287133683,0.7130124777183601,1.0562,1.2706,0.006411900487304436,0.04875575317887511,5.7771,1.4025,155.96,20.5104
2024-11-15,0.1725714877387958,0.7104290991759022,1.0552,1.2629,0.006468723720809884,0.04917001022736213,5.7947,1.4076,154.59,20.3376
2024-11-18,0.17405531477903677,0.71285999429712,1.0586,1.2664,0.006460783046905285,0.04934616333580064,5.7453,1.4028,154.78,20.265
2024-11-19,0.1734755833116489,0.7152564194263644,1.0578,1.2667,0.006479201762342879,0.04963641327277691,5.7645,1.3981,154.34,20.1465
2024-11-20,0.1732321657485362,0.7145409074669525,1.0521,1.2639,0.0064358347277641914,0.04923707157593095,5.7726,1.3995,155.38,20.3099
2024-11-21,0.171588393761046,0.7163323782234957,1.0475,1.2586,0.00646579593948015,0.04891626025407105,5.8279,1.396,154.66,20.4431
2024-11-22,0.17229496898690558,0.7150518412584912,1.0399,1.2516,0.006462870807212564,0.048817398520832826,5.804,1.3985,154.73,20.4845
2024-11-25,0.17207261464337953,0.7141326858530315,1.0478,1.2554,0.006481301445330222,0.04918355301987015,5.8115,1.4003,154.29,20.332
2024-11-26,0.1721496324605347,0.7113387395077536,1.0481,1.2547,0.006515082415792559,0.04822530864197531,5.8089,1.4058,153.49,20.736
2024-11-27,0.1702968273701061,0.71285999429712,1.0575,1.2678,0.006636140420731303,0.04842896439502537,5.8721,1.4028,150.69,20.6488
2024-11-28,0.1702968273701061,0.71285999429712,1.0575,1.2678,0.006636140420731303,0.04842896439502537,5.8721,1.4028,150.69,20.6488
2024-11-29,0.16678897858429517,0.7135721421435707,1.0547,1.2699,0.006648494116082707,0.0492266493388861,5.9956,1.4014,150.41,20.3142
2024-12-02,0.16463344363774057,0.7107825716113441,1.0484,1.2639,0.006699718611818304,0.048935410152140195,6.0741,1.4069,149.26,20.4351
2024-12-03,0.16488046166529266,0.7109847138286527,1.0518,1.2677,0.006706008583690987,0.049205333858190224,6.065,1.4065,149.12,20.323
2024-12-04,0.1657550140891762,0.7107825716113441,1.0527,1.2712,0.006658676255160474,0.04936418924255588,6.033,1.4069,150.18,20.2576
2024-12-05,0.16737802326554524,0.7125044531528322,1.0571,1.2754,0.006658232904987017,0.04952456418383518,5.9745,1.4035,150.19,20.192
2024-12-06,0.16463886465038938,0.7070135746606334,1.0563,1.2744,0.006676458806249165,0.04941614820891171,6.0739,1.4144,149.78,20.2363
2024-12-09,0.1648858989579211,0.708215297450425,1.057,1.2783,0.0066120074054482935,0.049536830633576064,6.0648,1.412,151.24,20.187
2024-12-10,0.1651554938975045,0.7062146892655368,1.0512,1.2758,0.006576783952647155,0.049407114624505935,6.0549,1.416,152.05,20.24
2024-12-11,0.16641704110500916,0.7079144839303412,1.0508,1.2763,0.006564264145989235,0.049666736200097344,6.009,1.4126,152.34,20.1342
2024-12-12,0.16639765712098775,0.7052683546089288,1.0514,1.2715,0.006575918984678109,0.04964257347100874,6.0097,1.4179,152.07,20.144
2024-12-13,0.16489405556929673,0.702247191011236,1.0498,1.2629,0.006504488096786783,0.049654651896062885,6.0645,1.424,153.74,20.1391
2024-12-16,0.16507370540946534,0.7027406886858749,1.0512,1.269,0.0064859255415747824,0.04964947470855758,6.0579,1.423,154.18,20.1412
2024-12-17,0.1636072118058964,0.698714365567356,1.0506,1.2718,0.006518479890489538,0.04934616333580064,6.1122,1.4312,153.41,20.265
2024-12-18,0.16153523083384486,0.6975933031042902,1.0469,1.2696,0.006493506493506494,0.04960612734885013,6.1906,1.4335,154.0,20.1588
2024-12-19,0.16282932230436056,0.6960879855213699,1.0357,1.253,0.0063399480124262985,0.04898670990560261,6.1414,1.4366,157.73,20.4137
2024-12-20,0.1644331168297295,0.6966699177929497,1.043,1.2587,0.006405739542630196,0.04983454929633616,6.0815,1.4354,156.11,20.0664
2024-12-23,0.16185420173507706,0.6949270326615705,1.0409,1.2529,0.006367804381049415,0.04950249987624375,6.1784,1.439,157.04,20.201
2024-12-24,0.16153523083384486,0.6952652436904679,1.0388,1.2528,0.006357683260219976,0.0496007142502852,6.1906,1.4383,157.29,20.161
2024-12-25,0.16153523083384486,0.6952652436904679,1.0388,1.2528,0.006357683260219976,0.0496007142502852,6.1906,1.4383,157.29,20.161
2024-12-26,0.16241676140977748,0.6942515967786727,1.0423,1.2522,0.006328713372571356,0.049566294919454766,6.157,1.4404,158.01,20.175
2024-12-27,0.16123571048515825,0.6928566479595372,1.0423,1.2573,0.0063399480124262985,0.049451092869152405,6.2021,1.4433,157.73,20.222
2024-12-30,0.16125651073162078,0.6957005704744678,1.0386,1.2523,0.006358896095637797,0.04867127421395892,6.2013,1.4374,157.26,20.546
2024-12-31,0.16170763260025872,0.6944444444444444,1.0351,1.2521,0.006354451293130838,0.0479485224662802,6.184,1.44,157.37,20.8557
2025-01-01,0.16170763260025872,0.6944444444444444,1.0351,1.2521,0.006354451293130838,0.0479485224662802,6.184,1.44,157.37,20.8557
2025-01-02,0.16245370069530185,0.6933851060879213,1.0261,1.2376,0.006343165239454488,0.048484848484848485,6.1556,1.4422,157.65,20.625
2025-01-03,0.16191972020272347,0.6918021445866482,1.0292,1.2419,0.0063613231552162855,0.0484284953266502,6.1759,1.4455,157.2,20.649
2025-01-06,0.1637036309465344,0.6964273278083433,1.0397,1.253,0.006347594261774787,0.049316716887523364,6.1086,1.4359,157.54,20.2771
2025-01-07,0.16490493230652528,0.6973014434139879,1.0369,1.2499,0.006336332530731213,0.04919928169048732,6.0641,1.4341,157.82,20.3255
2025-01-08,0.16318537859007834,0.6956521739130435,1.0313,1.2366,0.006316720358789716,0.0490869821323385,6.128,1.4375,158.31,20.372
2025-01-09,0.16476907613979008,0.6947339169098236,1.0298,1.2303,0.006328713372571356,0.048770733658146416,6.0691,1.4394,158.01,20.5041
2025-01-10,0.16360453511771345,0.6926646810279143,1.0238,1.2215,0.006341958396752917,0.048280257237210564,6.1123,1.4437,157.68,20.7124
2025-01-13,0.1636955916777161,0.6939143709666227,1.0209,1.2158,0.0063488032505872646,0.04809981673969822,6.1089,1.4411,157.51,20.7901
2025-01-14,0.16527286550094206,0.6959426543252836,1.0292,1.2188,0.006331117442228554,0.0487462465390165,6.0506,1.4369,157.95,20.5144
2025-01-15,0.16538219826017928,0.697350069735007,1.0282,1.2214,0.006385696040868455,0.04885197850512946,6.0466,1.434,156.6,20.47
2025-01-16,0.16543144520910533,0.6955554009876886,1.0303,1.2246,0.006433350488934638,0.048086632877792634,6.0448,1.4377,155.44,20.7958
2025-01-17,0.16565067585475748,0.6934812760055479,1.0287,1.2181,0.006397952655150352,0.04830684507994783,6.0368,1.442,156.3,20.701
2025-01-20,0.16565067585475748,0.6934812760055479,1.0287,1.2181,0.006397952655150352,0.04830684507994783,6.0368,1.442,156.3,20.701
